[2024-08-25 19:20:23,532: INFO: main: Welocome to our custom logging.]
[2024-08-25 19:20:31,340: INFO: main: Welocome to our custom logging.]
[2024-08-25 19:20:37,385: INFO: main: Welocome to our custom logging.]
[2024-08-25 19:20:52,446: INFO: main: Welcome to our custom logging.]
[2024-08-27 20:09:51,926: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:09:51,935: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:09:51,939: INFO: common: created directory at: artifacts]
[2024-08-27 20:09:51,947: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:09:51,960: INFO: 2166426223: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:10:13,927: INFO: 2166426223: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:14:08,145: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:14:08,147: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:14:08,155: INFO: common: created directory at: artifacts]
[2024-08-27 20:14:08,158: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:14:08,163: INFO: 2166426223: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:14:31,118: INFO: 2166426223: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:17:56,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:17:56,681: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:17:56,691: INFO: common: created directory at: artifacts]
[2024-08-27 20:17:56,696: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:17:56,699: INFO: 2166426223: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:18:18,475: INFO: 2166426223: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:18:40,157: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:18:40,162: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:18:40,167: INFO: common: created directory at: artifacts]
[2024-08-27 20:18:40,173: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:18:40,177: INFO: 661843391: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:19:01,918: INFO: 661843391: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:32:52,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:32:52,958: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:32:52,966: INFO: common: created directory at: artifacts]
[2024-08-27 20:32:52,971: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:32:52,975: INFO: 3073340465: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:33:15,005: INFO: 3073340465: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:47:21,634: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:47:21,645: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:47:21,655: INFO: common: created directory at: artifacts]
[2024-08-27 20:47:21,664: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:47:21,671: INFO: 3073340465: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:47:43,634: INFO: 3073340465: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 20:50:53,427: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 20:50:53,434: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 20:50:53,444: INFO: common: created directory at: artifacts]
[2024-08-27 20:50:53,448: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 20:50:53,456: INFO: 1286384308: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion]
[2024-08-27 21:00:14,303: INFO: 1286384308: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion]
[2024-08-27 21:16:29,720: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-27 21:16:29,725: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-27 21:16:29,729: INFO: common: created directory at: artifacts]
[2024-08-27 21:16:29,732: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-27 21:16:29,732: INFO: 1286384308: Downloading data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-27 21:24:41,576: INFO: 1286384308: Downloaded data from https://drive.google.com/file/d/1-2Y6sOXk3eLNwpFxXDZCmbSneG39xJie/view?usp=sharing into file artifacts/data_ingestion/data.zip]
